,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,1.0,0.6666666666666666,0.8,3.0,0.8571428571428571,1.0,0.923076923076923,6.0,0.8888888888888888,0.8333333333333333,0.8333333333333334,0.816496580927726
1,0.6666666666666666,1.0,0.8,2.0,1.0,0.8571428571428571,0.923076923076923,7.0,0.8888888888888888,0.9285714285714286,1.0,0.9258200997725514
2,0.5,0.3333333333333333,0.4,3.0,0.6666666666666666,0.8,0.7272727272727272,5.0,0.625,0.5666666666666667,0.7333333333333334,0.5163977794943222
3,0.3333333333333333,0.25,0.28571428571428575,4.0,0.4,0.5,0.4444444444444445,4.0,0.375,0.375,0.625,0.3535533905932738
4,1.0,0.5,0.6666666666666666,4.0,0.6666666666666666,1.0,0.8,4.0,0.75,0.75,0.625,0.7071067811865476
5,1.0,0.6,0.7499999999999999,5.0,0.6,1.0,0.7499999999999999,3.0,0.75,0.8,0.9333333333333333,0.7745966692414834
6,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.8,0.8,0.8000000000000002,5.0,0.75,0.7333333333333334,0.6666666666666667,0.7302967433402214
7,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.4666666666666667,0.0
8,0.0,0.0,0.0,1.0,0.875,1.0,0.9333333333333333,7.0,0.875,0.5,0.42857142857142855,0.0
9,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.6666666666666667,0.0
mean,0.5166666666666666,0.40166666666666667,0.4519661222020569,3.1,0.7115476190476191,0.8957142857142857,0.7930796660564825,5.1,0.7152777777777778,0.6486904761904762,0.6978571428571428,0.5998154478075498
