,precision(anti),recall(anti),f1-score(anti),support(anti),precision(pro),recall(pro),f1-score(pro),support(pro),accuracy,b-accuracy,roc-auc,g-mean
0,1.0,0.6666666666666666,0.8,3.0,0.8571428571428571,1.0,0.923076923076923,6.0,0.8888888888888888,0.8333333333333333,0.888888888888889,0.816496580927726
1,0.6666666666666666,1.0,0.8,2.0,1.0,0.8571428571428571,0.923076923076923,7.0,0.8888888888888888,0.9285714285714286,1.0,0.9258200997725514
2,0.5,0.3333333333333333,0.4,3.0,0.6666666666666666,0.8,0.7272727272727272,5.0,0.625,0.5666666666666667,0.8,0.5163977794943222
3,0.5,0.25,0.3333333333333333,4.0,0.5,0.75,0.6,4.0,0.5,0.5,0.625,0.4330127018922193
4,1.0,0.5,0.6666666666666666,4.0,0.6666666666666666,1.0,0.8,4.0,0.75,0.75,0.75,0.7071067811865476
5,1.0,0.6,0.7499999999999999,5.0,0.6,1.0,0.7499999999999999,3.0,0.75,0.8,0.8666666666666667,0.7745966692414834
6,0.5,0.3333333333333333,0.4,3.0,0.6666666666666666,0.8,0.7272727272727272,5.0,0.625,0.5666666666666667,0.6666666666666667,0.5163977794943222
7,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.4666666666666667,0.0
8,0.0,0.0,0.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0,0.75,0.42857142857142855,0.5714285714285714,0.0
9,0.0,0.0,0.0,3.0,0.625,1.0,0.7692307692307693,5.0,0.625,0.5,0.6666666666666667,0.0
mean,0.5166666666666666,0.36833333333333335,0.4300690521029504,3.1,0.7064285714285714,0.9064285714285715,0.7940282171327343,5.1,0.7027777777777777,0.6373809523809524,0.7301984126984127,0.577812994958453
